               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057935,             0.02711,            0.037004,             0.15427,                0.55,             0.19633,            0.084546,            0.028789,           0.0089691,            0.028394,           0.0033036,           0.0033036,            0.070268
                   1,            0.040241,            0.017209,            0.031592,             0.17188,             0.40814,             0.17952,            0.072444,            0.030246,           0.0064186,            0.027528,           0.0066041,           0.0066041,            0.040235
                   2,            0.038066,             0.01789,            0.033047,             0.58328,             0.28316,             0.22689,             0.10156,            0.027945,           0.0067083,            0.027368,           0.0098715,           0.0098715,            0.010169
                   3,            0.036054,            0.016942,            0.028658,             0.62884,             0.27661,             0.27977,             0.13391,            0.030285,           0.0075543,             0.03007,           0.0098515,           0.0098515,           0.0098515
                   4,            0.034588,            0.016019,            0.028913,             0.72881,             0.36621,             0.38006,             0.18503,            0.030059,           0.0064494,            0.023528,           0.0098515,           0.0098515,           0.0098515
                   5,            0.030435,            0.015717,            0.025931,             0.28273,             0.67691,             0.46512,             0.26796,            0.022776,           0.0054683,            0.022421,            0.009802,            0.009802,            0.009802
                   6,            0.029161,            0.015259,            0.026274,             0.51199,             0.58554,             0.46313,             0.25643,            0.022393,           0.0060737,            0.022819,           0.0097525,           0.0097525,           0.0097525
                   7,            0.028443,            0.015185,            0.024198,             0.58658,             0.56461,             0.51628,             0.32032,            0.021544,           0.0052712,            0.022583,            0.009703,            0.009703,            0.009703
                   8,            0.032158,            0.014831,            0.025917,             0.56657,             0.57783,             0.48043,             0.27777,            0.021969,           0.0056412,            0.024281,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03024,            0.014839,            0.024834,             0.70132,             0.56446,             0.60446,             0.38558,            0.018921,            0.004885,            0.020213,            0.009604,            0.009604,            0.009604
                  10,            0.022177,            0.014509,            0.021768,             0.75181,             0.49629,              0.5861,             0.36379,            0.020514,           0.0049992,            0.021866,           0.0095545,           0.0095545,           0.0095545
                  11,             0.02833,            0.014329,            0.022628,             0.56835,             0.61533,             0.61193,             0.40042,            0.019589,           0.0048224,            0.019168,            0.009505,            0.009505,            0.009505
                  12,            0.029199,            0.014248,            0.022833,             0.55613,             0.57401,             0.61037,             0.39562,            0.018475,           0.0049862,            0.019914,           0.0094555,           0.0094555,           0.0094555
                  13,            0.027509,            0.014423,            0.021397,             0.44154,             0.67434,             0.57229,             0.36157,            0.018616,           0.0049269,             0.02296,            0.009406,            0.009406,            0.009406
                  14,            0.027473,             0.01367,            0.020599,             0.56827,             0.59945,             0.58871,             0.37639,            0.019176,           0.0049656,             0.02055,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026205,             0.01347,            0.019838,             0.60321,             0.56676,             0.59856,             0.38743,             0.01959,           0.0049831,            0.019901,            0.009307,            0.009307,            0.009307
                  16,            0.024383,            0.013806,            0.019419,             0.57741,             0.62003,             0.65673,             0.44349,            0.017586,           0.0045307,            0.018677,           0.0092575,           0.0092575,           0.0092575
                  17,            0.026308,            0.013681,            0.020203,             0.57583,             0.56467,             0.58062,               0.396,            0.018047,           0.0047239,               0.027,            0.009208,            0.009208,            0.009208
                  18,            0.025979,            0.013601,            0.020039,             0.60325,             0.57382,             0.59561,             0.39172,            0.018046,           0.0050629,            0.020101,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027421,            0.014125,            0.020965,             0.46675,             0.43477,             0.45348,             0.26602,            0.021362,            0.005583,            0.036945,            0.009109,            0.009109,            0.009109
                  20,            0.024935,            0.014215,            0.020175,              0.5579,             0.64157,             0.62888,             0.39779,            0.019671,           0.0048323,            0.018991,           0.0090595,           0.0090595,           0.0090595
                  21,            0.023257,            0.013913,            0.018298,             0.55396,              0.6227,             0.57428,             0.37144,            0.020131,           0.0048188,            0.023235,             0.00901,             0.00901,             0.00901
                  22,            0.025848,            0.013488,            0.016794,             0.55366,             0.58891,             0.61231,             0.40614,            0.018634,           0.0046511,            0.023657,           0.0089605,           0.0089605,           0.0089605
                  23,            0.024547,            0.012745,            0.017106,             0.64892,             0.55689,              0.6442,             0.42877,            0.017154,           0.0047981,            0.017372,            0.008911,            0.008911,            0.008911
                  24,            0.024966,            0.013044,            0.016815,             0.59186,             0.68225,               0.667,             0.45414,            0.020172,             0.00463,            0.020278,           0.0088615,           0.0088615,           0.0088615
                  25,            0.024573,            0.013194,            0.018336,              0.6296,             0.62538,             0.67392,             0.44141,            0.018463,           0.0045807,            0.019253,            0.008812,            0.008812,            0.008812
                  26,            0.024493,            0.012836,            0.016993,             0.68825,             0.61415,             0.67746,             0.46827,            0.018215,           0.0044287,             0.01849,           0.0087625,           0.0087625,           0.0087625
                  27,             0.02309,            0.013323,            0.018082,             0.49056,             0.56353,             0.55477,             0.37204,            0.018724,           0.0047464,             0.02717,            0.008713,            0.008713,            0.008713
                  28,            0.024041,            0.013233,            0.017926,             0.60515,               0.634,              0.6588,             0.45767,            0.017132,           0.0044676,            0.016532,           0.0086635,           0.0086635,           0.0086635
                  29,            0.021921,            0.013138,            0.016451,             0.57131,             0.64605,             0.63797,             0.42212,            0.018723,           0.0050578,            0.020362,            0.008614,            0.008614,            0.008614
                  30,            0.024242,            0.013038,            0.015483,             0.78183,             0.57254,             0.65359,             0.45533,            0.016641,           0.0044806,            0.019815,           0.0085645,           0.0085645,           0.0085645
                  31,            0.023448,            0.012903,            0.015505,             0.60022,             0.58207,             0.64468,             0.45211,            0.018571,           0.0044482,            0.019673,            0.008515,            0.008515,            0.008515
                  32,            0.023238,            0.012899,            0.015819,             0.63147,             0.69182,             0.68504,             0.47222,            0.016491,           0.0044495,            0.022716,           0.0084655,           0.0084655,           0.0084655
                  33,            0.023564,            0.012871,            0.016041,             0.60558,             0.76391,             0.70709,             0.48998,            0.016593,           0.0043988,            0.017075,            0.008416,            0.008416,            0.008416
                  34,            0.025659,            0.012583,            0.015703,             0.65273,              0.7128,             0.72802,             0.52424,            0.016578,           0.0044352,            0.018263,           0.0083665,           0.0083665,           0.0083665
                  35,            0.021849,             0.01233,            0.013535,             0.64576,             0.66879,             0.70569,             0.49924,            0.015062,           0.0042754,            0.018444,            0.008317,            0.008317,            0.008317
                  36,            0.024014,            0.012366,            0.016323,             0.70238,             0.67042,             0.72647,             0.52002,            0.017652,            0.004379,            0.016846,           0.0082675,           0.0082675,           0.0082675
                  37,            0.022563,            0.012576,            0.013977,             0.58819,             0.71325,             0.67847,             0.47121,            0.016933,           0.0044626,            0.016729,            0.008218,            0.008218,            0.008218
                  38,            0.021773,            0.012742,            0.014338,             0.73652,              0.6545,             0.72868,             0.51612,            0.017292,           0.0044566,            0.023493,           0.0081685,           0.0081685,           0.0081685
                  39,            0.022422,            0.012391,            0.014268,             0.63437,             0.71643,              0.6733,              0.4805,            0.017021,           0.0043362,            0.017339,            0.008119,            0.008119,            0.008119
                  40,            0.023918,            0.012385,             0.01459,              0.6205,             0.70812,             0.70744,             0.51066,            0.015438,           0.0042438,            0.015765,           0.0080695,           0.0080695,           0.0080695
                  41,            0.020783,            0.012265,              0.0124,             0.76181,             0.64484,             0.73526,             0.53132,            0.016449,           0.0043973,            0.012796,             0.00802,             0.00802,             0.00802
                  42,            0.021859,            0.012393,            0.014784,             0.46513,              0.6044,             0.58002,             0.40231,            0.017579,           0.0046586,            0.030648,           0.0079705,           0.0079705,           0.0079705
                  43,            0.021745,            0.012438,            0.014787,             0.62864,             0.68183,             0.68633,             0.47873,            0.016545,           0.0043663,             0.01946,            0.007921,            0.007921,            0.007921
                  44,            0.022722,            0.012434,            0.012537,             0.71638,             0.75638,             0.78149,              0.5609,            0.015495,            0.004122,             0.01447,           0.0078715,           0.0078715,           0.0078715
                  45,            0.020908,            0.012213,            0.013991,             0.63305,              0.7437,             0.73343,             0.51753,            0.016814,           0.0043041,            0.014099,            0.007822,            0.007822,            0.007822
                  46,            0.023257,            0.012285,            0.013564,             0.69466,             0.70753,             0.74137,             0.52697,            0.018104,           0.0044363,             0.01806,           0.0077725,           0.0077725,           0.0077725
                  47,            0.022531,            0.012681,            0.014494,             0.63855,             0.77605,             0.76231,             0.52926,            0.016952,           0.0041778,            0.015316,            0.007723,            0.007723,            0.007723
                  48,            0.020681,             0.01238,            0.014153,             0.62129,             0.69519,             0.67722,             0.47168,            0.016352,           0.0045232,             0.01438,           0.0076735,           0.0076735,           0.0076735
                  49,             0.02232,            0.012945,            0.017015,             0.57204,             0.67723,             0.65786,             0.45601,            0.017009,           0.0043028,            0.017866,            0.007624,            0.007624,            0.007624
                  50,            0.021828,             0.01255,            0.014189,             0.74288,             0.64422,             0.71427,             0.51196,            0.017738,           0.0044207,            0.018153,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024638,            0.012667,            0.014686,             0.61231,             0.73266,             0.73581,             0.52784,            0.016604,           0.0042234,            0.015032,            0.007525,            0.007525,            0.007525
                  52,            0.022266,            0.012038,            0.013854,             0.68875,             0.64746,             0.70274,             0.49476,            0.016135,             0.00425,            0.015396,           0.0074755,           0.0074755,           0.0074755
                  53,            0.020239,            0.012412,             0.01237,             0.63014,             0.74759,             0.73654,             0.52243,            0.018193,           0.0041926,            0.019544,            0.007426,            0.007426,            0.007426
                  54,            0.020655,             0.01229,            0.012898,             0.58536,             0.73232,             0.71097,              0.5095,            0.015785,           0.0042898,            0.012607,           0.0073765,           0.0073765,           0.0073765
                  55,            0.020308,            0.012149,            0.012451,             0.64004,             0.71875,             0.72848,             0.53759,            0.015653,           0.0042377,             0.01592,            0.007327,            0.007327,            0.007327
                  56,            0.020079,            0.011796,             0.01282,             0.70692,             0.68856,             0.72219,              0.5223,            0.015816,           0.0042202,            0.016329,           0.0072775,           0.0072775,           0.0072775
                  57,            0.021861,            0.011867,              0.0135,             0.76465,             0.65402,             0.75059,             0.54823,            0.016032,            0.004078,            0.017206,            0.007228,            0.007228,            0.007228
                  58,             0.02012,            0.011909,            0.011391,              0.7398,             0.67258,             0.76167,             0.55516,            0.016481,            0.004113,            0.021383,           0.0071785,           0.0071785,           0.0071785
                  59,            0.020755,            0.011773,            0.011963,             0.67325,              0.6604,             0.70772,             0.51471,             0.01556,           0.0042741,            0.015295,            0.007129,            0.007129,            0.007129
                  60,            0.020353,            0.011605,            0.011342,             0.72341,             0.63062,             0.72925,             0.52129,             0.01593,            0.004344,            0.021791,           0.0070795,           0.0070795,           0.0070795
                  61,            0.020002,            0.011777,            0.012574,             0.61687,             0.68732,             0.67332,             0.48192,            0.015775,           0.0045236,            0.020659,             0.00703,             0.00703,             0.00703
                  62,            0.021946,            0.012055,             0.01183,             0.75289,             0.66186,             0.73998,             0.51744,             0.01577,           0.0043167,            0.015794,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02039,            0.011534,            0.011598,             0.69057,             0.69515,             0.73824,             0.54054,            0.015065,           0.0041065,            0.018967,            0.006931,            0.006931,            0.006931
                  64,            0.018267,            0.011559,            0.010922,             0.68212,             0.71686,             0.75372,             0.54339,            0.016266,           0.0042041,            0.018019,           0.0068815,           0.0068815,           0.0068815
                  65,            0.020586,             0.01158,            0.011437,             0.64048,             0.70518,             0.71155,             0.52746,            0.014566,           0.0040548,            0.016111,            0.006832,            0.006832,            0.006832
                  66,             0.02008,            0.011681,            0.011842,             0.65972,             0.73994,             0.72657,             0.51846,            0.015552,           0.0042682,            0.019505,           0.0067825,           0.0067825,           0.0067825
                  67,            0.019945,            0.011877,           0.0093008,             0.73198,             0.72308,             0.77654,             0.57485,            0.014734,           0.0041228,            0.018219,            0.006733,            0.006733,            0.006733
                  68,             0.02249,            0.011602,            0.012215,              0.5437,             0.49202,              0.5047,              0.3351,            0.020274,           0.0060094,             0.03428,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020296,            0.011389,            0.011008,             0.69669,             0.73026,             0.75485,             0.56375,            0.014642,           0.0041288,            0.014641,            0.006634,            0.006634,            0.006634
                  70,            0.019698,            0.011509,             0.01162,             0.72281,             0.81131,             0.81567,             0.60212,            0.014181,           0.0038614,            0.011334,           0.0065845,           0.0065845,           0.0065845
                  71,            0.019987,            0.011291,            0.010709,             0.75797,             0.69203,             0.78074,             0.57881,            0.015065,           0.0040663,            0.014702,            0.006535,            0.006535,            0.006535
                  72,            0.019261,            0.011356,            0.010605,             0.68896,             0.72221,             0.76806,             0.56153,            0.015023,           0.0042657,            0.014287,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019595,             0.01156,            0.011301,             0.71271,             0.80904,             0.80181,             0.58503,            0.014501,           0.0040323,            0.014239,            0.006436,            0.006436,            0.006436
                  74,            0.018096,            0.011094,           0.0088629,              0.7464,             0.75731,             0.81618,             0.60218,            0.014447,           0.0039795,            0.019569,           0.0063865,           0.0063865,           0.0063865
                  75,            0.018898,            0.011418,           0.0094282,             0.71552,             0.75742,             0.79928,             0.59244,            0.014031,           0.0039858,            0.012948,            0.006337,            0.006337,            0.006337
                  76,            0.019445,            0.011279,           0.0088895,             0.64284,             0.77383,             0.75914,             0.56239,            0.014829,           0.0040958,            0.017131,           0.0062875,           0.0062875,           0.0062875
                  77,            0.018709,            0.011157,           0.0095911,                0.75,             0.68036,             0.74873,             0.55182,            0.014076,            0.004145,            0.016898,            0.006238,            0.006238,            0.006238
                  78,            0.017707,            0.011294,           0.0079868,             0.70588,             0.71568,             0.77148,              0.5747,            0.013567,           0.0040337,             0.01574,           0.0061885,           0.0061885,           0.0061885
                  79,            0.020205,            0.011307,           0.0085028,             0.66989,             0.76843,             0.76934,             0.55892,            0.014917,           0.0043211,            0.018029,            0.006139,            0.006139,            0.006139
                  80,            0.018956,            0.011473,            0.011229,             0.68982,             0.75733,             0.78378,             0.57268,            0.015035,           0.0042121,            0.021193,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019889,            0.011811,            0.011349,             0.68895,             0.60722,             0.69865,             0.51384,             0.01589,           0.0042425,            0.025164,             0.00604,             0.00604,             0.00604
                  82,            0.020507,            0.011548,            0.011217,             0.74649,             0.63241,             0.71783,             0.52348,            0.016213,           0.0041886,            0.025102,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019977,            0.011217,            0.009801,             0.65618,             0.73228,             0.72299,             0.53497,            0.014658,           0.0040241,            0.021442,            0.005941,            0.005941,            0.005941
                  84,            0.018158,            0.011352,           0.0097841,             0.64418,             0.76462,             0.76553,             0.57094,            0.014424,           0.0041311,            0.014727,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020643,            0.011195,           0.0089332,             0.72365,             0.72336,             0.76674,             0.57306,            0.014262,           0.0041928,            0.017682,            0.005842,            0.005842,            0.005842
                  86,            0.019497,            0.011293,           0.0091365,             0.78154,             0.70132,             0.78911,             0.59614,            0.014302,           0.0039627,            0.016204,           0.0057925,           0.0057925,           0.0057925
                  87,            0.018185,            0.011138,           0.0084329,             0.79436,             0.72172,             0.81034,             0.59991,            0.014353,           0.0040792,            0.017458,            0.005743,            0.005743,            0.005743
                  88,            0.017995,            0.011123,           0.0077719,              0.7472,             0.73178,             0.79996,             0.59692,            0.014619,           0.0040166,            0.017122,           0.0056935,           0.0056935,           0.0056935
                  89,            0.017569,            0.010668,           0.0080701,             0.69369,             0.85391,              0.8181,             0.61376,            0.014325,           0.0038568,            0.012215,            0.005644,            0.005644,            0.005644
                  90,            0.018304,            0.010929,           0.0096871,             0.74176,               0.654,             0.72165,             0.53616,             0.01529,           0.0042464,            0.023316,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017597,            0.010936,           0.0092169,             0.71829,             0.78632,             0.78759,             0.58368,            0.013958,           0.0039259,            0.020297,            0.005545,            0.005545,            0.005545
                  92,            0.020466,             0.01094,           0.0090632,             0.77451,             0.76305,             0.80441,             0.60806,            0.014657,           0.0040378,             0.01629,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018191,            0.010786,           0.0082897,             0.81043,             0.69555,             0.80905,              0.5857,            0.014681,           0.0041684,            0.018782,            0.005446,            0.005446,            0.005446
                  94,            0.017833,            0.011091,           0.0091906,             0.74607,             0.77108,             0.79551,             0.60189,            0.014997,           0.0038941,             0.01654,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018919,            0.010868,           0.0086809,             0.71856,             0.72943,             0.77627,             0.57996,            0.014712,           0.0039448,            0.016969,            0.005347,            0.005347,            0.005347
                  96,            0.018517,            0.011021,           0.0079906,             0.68462,             0.77976,              0.7982,               0.598,            0.014464,           0.0040412,            0.016334,           0.0052975,           0.0052975,           0.0052975
                  97,               0.018,            0.010928,           0.0072152,             0.72942,             0.78234,             0.78675,             0.59165,            0.014028,           0.0038945,            0.015155,            0.005248,            0.005248,            0.005248
                  98,            0.018029,            0.010876,           0.0085656,             0.83285,             0.74727,             0.83507,             0.62269,            0.013542,            0.004067,            0.014334,           0.0051985,           0.0051985,           0.0051985
